Role,Company,Location,Duration,Posted,Skills,Applicants,est_stipend,Gender
Law/Legal,Alphabet Legal,WFH,3 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Office, MS-Word",51,0,Any
Sales,The Three Marketeers,Mumbai,3 Months,1 week ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office",53,36000,Any
Marketing,InnovaLabs Technologies,Pune,6 Months,1 week ago,"Facebook Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",92,12500,Any
Graphic Design,SpeEdLabs,Indore,6 Months,1 week ago,"Adobe InDesign, CorelDRAW",0,20000,Any
UI/UX Design,Eduminatti,WFH,2 Months,1 week ago,Figma,1000,7500,Any
Marketing,Eduminatti,WFH,2 Months,1 week ago,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing",504,7500,Any
HR,Eduminatti,WFH,2 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-Word",1000,7500,Any
Graphic Design,Eduminatti,WFH,2 Months,1 week ago,"Adobe Photoshop, UI & UX Design",641,7500,Any
Sales,NoCap Ventures Pvt Ltd,Jaipur,6 Months,1 week ago,"Email Marketing, English Proficiency (Spoken), MS-Excel, Sales Management, Sales Strategy",0,8000,Any
Fashion,Label Toy,Indore,1 Month,1 week ago,"Fashion Designing, Fashion Styling, Interpersonal skills, Marketing, Social Media Marketing",40,8000,Any
UI/UX Design,Itzfizz Digital,WFH,3 Months,1 week ago,"Adobe XD, Creative Thinking, Figma, Prototyping, Sketch, UI & UX Design, Wireframing",1000,7500,Any
Consultant,Gospyad,Udaipur,2 Months,1 week ago,"English Proficiency (Spoken), MS-Excel, MS-Word",0,6500,Any
Graphic Design,Mudra Electronics Ltd.,Bangalore,3 Months,1 week ago,"Adobe Animate, Adobe Photoshop, Branding, CAD, Graphic Design, Image Editing, Photography, UI & UX Design, Video Editing",50,11000,Any
Accounting & Taxation,Infotax Suvidha Pvt. Ltd.,Patna,6 Months,1 week ago,"Accounting, English Proficiency (Spoken), MS-Office, Tally",0,4000,Any
Software,Better,WFH,6 Months,1 week ago,DevOps,1000,9000,Any
Sales,Tripling Solutions,Bangalore,3 Months,1 week ago,"Sales, Social Media Marketing",40,8000,Any
Marketing,Meta Results,WFH,2 Months,1 week ago,"Creative Writing, English Proficiency (Spoken), English Proficiency (Written), LinkedIn Ads, LinkedIn Marketing, Social Media Marketing",299,5000,Any
Operations,Bridge2job,WFH,6 Months,1 week ago,"Accounting, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Financial Analysis, Financial planning, Financial Reporting, MS-Excel, Problem Solving, Time Management",693,9000,Any
Product Management,Jarurat Care,WFH,4 Months,1 week ago,"Community Management, Effective Communication, Interpersonal skills",225,0,Any
Market Research,BrandSync Media,WFH,2 Months,1 week ago,"Google Sheets, Research and Analytics, Social Media Marketing",118,2500,Any
Video Making/Editing,Bridge2job,WFH,3 Months,1 week ago,"Adobe Premiere Pro, Creative Thinking, Creativity, Final Cut Pro, Time Management, Video Editing, Video Making, Video Marketing",256,5500,Any
Marketing,V5 Global,Mumbai,2 Months,1 week ago,Recruitment,48,3500,Any
Photography,SQUARE MANGO INNOVATIONS PRIVATE LIMITED,Mumbai,2 Months,1 week ago,"Adobe Photoshop, Photography, Video Editing, Video Making",37,6250,Any
Video Making/Editing,Supreme Forex (Supreme Securities Ltd.),WFH,1 Month,1 week ago,"English Proficiency (Spoken), Instagram Marketing, Public Speaking, Video Editing, Video Making",76,4000,Any
Marketing,Barfia,WFH,3 Months,1 week ago,"Report Writing, Social Media Marketing",1000,12500,Any
Event Management,Blue Sparrow Science Party,Ahmedabad,6 Months,1 week ago,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills",157,2250,Any
Event Management,Blue Sparrow Science Party,Aurangabad,6 Months,1 week ago,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills",157,2250,Any
Event Management,Blue Sparrow Science Party,Dehradun,6 Months,1 week ago,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills",157,2250,Any
Event Management,Blue Sparrow Science Party,Indore,6 Months,1 week ago,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills",157,2250,Any
Event Management,Sustainable Guides,Mumbai,3 Months,1 week ago,"Effective Communication, Event Management, Social Media Marketing, Vendor Management",99,10000,Any
Graphic Design,Creatiwise,WFH,6 Months,1 week ago,"Adobe After Effects, Adobe Illustrator, Adobe Premiere Pro, Animation, Video Editing, Video Making",206,26000,Any
Marketing,Innovative ILC India Pvt. Ltd.,Gurgaon,3 Months,1 week ago,"Canva, Content Writing, Effective Communication, Video Making",80,7500,Any
Video Making/Editing,Kyoren Labs Pvt. Ltd.,Pune,3 Months,1 week ago,"Adobe Premiere Pro, DaVinci Resolve, Final Cut Pro, Photography, Video Editing, Video Making",58,17500,Any
UI/UX Design,Creatiwise,Pune,6 Months,1 week ago,"Adobe After Effects, Adobe Creative Suite, Adobe XD, Figma, UI & UX Design",293,26000,Any
UI/UX Design,Creatiwise,Thane,6 Months,1 week ago,"Adobe After Effects, Adobe Creative Suite, Adobe XD, Figma, UI & UX Design",293,26000,Any
UI/UX Design,Creatiwise,Mumbai,6 Months,1 week ago,"Adobe After Effects, Adobe Creative Suite, Adobe XD, Figma, UI & UX Design",293,26000,Any
UI/UX Design,Creatiwise,Maharashtra,6 Months,1 week ago,"Adobe After Effects, Adobe Creative Suite, Adobe XD, Figma, UI & UX Design",293,26000,Any
Business Development,Richa Maheshwari Photography,Delhi,3 Months,1 week ago,"Canva, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, MS-Excel, MS-Office, Social Media Marketing",33,11000,Any
Marketing,Reelo,Ahmedabad,6 Months,1 week ago,"MS-Excel, MS-PowerPoint, MS-Word",0,7000,Any
Marketing,Saleon Consulting,Pune,3 Months,1 week ago,"Email Marketing, MS-Office, Salesforce",0,2500,Any
Video Making/Editing,ByAndLarge: Bal Corporate Services Pvt. Ltd.,Bangalore,2 Months,1 week ago,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing",39,15000,Any
Founders Office,White Rivers Media,Mumbai,3 Months,1 week ago,"Artificial intelligence, ChatGPT, Claude, Coordination, Effective Communication, Gemini, Google Workspace, Grok, Microsoft 365, Notion, Perplexity, Research and Analytics",106,9000,Any
Graphic Design,Clik Catalyst,Ahmedabad,3 Months,1 week ago,"Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, CorelDRAW",88,2750,Any
Android App Development,Basti Ki Pathshala Foundation,WFH,3 Months,1 week ago,"Android, Flutter",331,0,Any
Marketing,BlinkTech,WFH,3 Months,1 week ago,"Branding, Business Analysis, Canva, Content Writing, Creative Thinking, Creativity, Effective Communication, Market research, Operations, Project Management, Social Media Marketing",90,3500,Any
Market Research,Vroomer,WFH,3 Months,1 week ago,"Client Relationship, Conflict Management, Effective Communication, English Proficiency (Spoken), Field Sales, Hindi Proficiency (Spoken), Interpersonal skills, MS-Excel, Problem Solving, Report Writing, Telugu Proficiency (Spoken)",37,9000,Any
Analytics,Techwiser,Noida,2 Months,1 week ago,"Attention to Detail, Search Engine Optimization (SEO), Technical Analysis, Technical Writing, WordPress",146,13500,Any
Marketing,PJP Digital,Dhankawadi,6 Months,1 week ago,"Facebook Marketing, Instagram Marketing, Social Media Marketing",26,5000,Any
Marketing,ShipTurtle,Ahmedabad,6 Months,1 week ago,"Content Management, Content Writing, Marketing Strategies , Search Engine Optimization (SEO)",101,15000,Any
Marketing,Kaushal Ranjeet Pvt. Ltd.,WFH,3 Months,1 week ago,"Digital Marketing, Facebook Ads, Facebook Marketing, Google Analytics, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), YouTube Ads",399,8500,Any
Telecalling,Inspacco,Pune,3 Months,1 week ago,"Data Analysis, Effective Communication, English Proficiency (Spoken), Hindi Proficiency (Spoken), MS-Excel",44,7000,Any
Sales,Realyon Ventures LLP,Delhi,6 Months,1 week ago,"Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Marketing, MS-Excel, Sales",0,9500,Any
Graphic Design,Creatiwise,WFH,6 Months,1 week ago,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop, CorelDRAW",730,26000,Any
UI/UX Design,SE-Mentor Solutions Pvt. Ltd.,Thiruvananthapuram,3 Months,1 week ago,Adobe Illustrator,0,4000,Any
WordPress Development,Astys Audio Video Pvt. Ltd.,Pune,3 Months,1 week ago,"CSS, HTML, JavaScript, PHP, Search Engine Optimization (SEO), WordPress",88,13000,Any
Web Development,Innate AI,WFH,3 Months,1 week ago,"JavaScript, Node.js, React, REST API, TypeScript",1000,9000,Any
Telecalling,Lead Mines Media,WFH,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Marketing, Sales",151,8000,Female
HR,AVM Healthcare Products Pvt. Ltd.,Delhi,6 Months,1 week ago,"MS-Excel, MS-Office, MS-Word",475,11000,Any
Marketing,BLUE CRYSTAL LITERARY MAGAZINE,WFH,2 Months,1 week ago,"Marketing, Market research, Sales Management",52,2049,Any
UI/UX Design,Web3Task,Delhi,3 Months,1 week ago,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe XD, Figma, Graphic Design, Interaction Design, Prototyping, Sketch, UX Research, Visual Design, Wireframing",234,10500,Any
UI/UX Design,Web3Task,Greater Noida,3 Months,1 week ago,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe XD, Figma, Graphic Design, Interaction Design, Prototyping, Sketch, UX Research, Visual Design, Wireframing",234,10500,Any
UI/UX Design,Web3Task,Gautam Buddha Nagar,3 Months,1 week ago,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe XD, Figma, Graphic Design, Interaction Design, Prototyping, Sketch, UX Research, Visual Design, Wireframing",234,10500,Any
UI/UX Design,Web3Task,Noida,3 Months,1 week ago,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe XD, Figma, Graphic Design, Interaction Design, Prototyping, Sketch, UX Research, Visual Design, Wireframing",234,10500,Any
Marketing,Swaaadle Tech Pvt. Ltd.,Chennai,6 Months,1 week ago,"Creative Writing, Email Marketing, English Proficiency (Written), Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",138,13750,Any
Sales,Glokal Advertising Pvt. Ltd.,Gurgaon,6 Months,1 week ago,"Computer skills, English Proficiency (Spoken), Hindi Proficiency (Spoken), MS-Excel, MS-PowerPoint",100,12500,Any
Sales,Glokal Advertising Pvt. Ltd.,Mumbai,6 Months,1 week ago,"Computer skills, English Proficiency (Spoken), Hindi Proficiency (Spoken), MS-Excel, MS-PowerPoint",100,12500,Any
Sales,Glokal Advertising Pvt. Ltd.,Jaipur,6 Months,1 week ago,"Computer skills, English Proficiency (Spoken), Hindi Proficiency (Spoken), MS-Excel, MS-PowerPoint",100,12500,Any
Sales,Precisito Pvt. Ltd.,Ghaziabad,3 Months,1 week ago,English Proficiency (Spoken),0,7750,Any
Marketing,Upgradx,Jaipur,6 Months,1 week ago,Social Media Marketing,36,8000,Any
Graphic Design,Itzfizz Digital,WFH,3 Months,1 week ago,".NET, Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Design Thinking, Effective Communication, Figma, Video Editing",440,7500,Any
Content Writing,Betatest Solutions Pvt. Ltd.,WFH,6 Months,1 week ago,"Blogging, Content Writing, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Search Engine Optimization (SEO)",1000,9500,Any
Copywriting,A Box Of Stories,WFH,2 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written)",1000,7000,Any
CA,Aebocode Technologies Pvt. Ltd.,Panchkula,6 Months,1 week ago,"AutoCAD, Catia, SolidWorks",53,3500,Any
Consultant,DCC Group,Mumbai,3 Months,1 week ago,"Interview Coordination, Recruitment",48,11000,Any
Graphic Design,Nutri Couture,Bangalore,3 Months,1 week ago,"Adobe Illustrator, Adobe Photoshop, CorelDRAW, Video Editing",71,6500,Any
Marketing,Maxleben Advisory,Mohali,6 Months,1 week ago,"Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",67,7000,Any
Administration,Expansive Solutions,Pune,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-Word, Recruitment, Tally",32,11000,Any
Administration,Expansive Solutions,Pimpri-Chinchwad,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-Word, Recruitment, Tally",32,11000,Any
SEO,The Tarzan Way,WFH,6 Months,1 week ago,"English Proficiency (Written), Google Analytics, Search Engine Optimization (SEO)",451,5000,Any
Video Making/Editing,Bollygrad Studioz,WFH,6 Months,1 week ago,"Adobe After Effects, Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making",113,2500,Any
Law/Legal,Shaan Libby & Associates,Chennai,6 Months,1 week ago,"Business Research, English Proficiency (Spoken), English Proficiency (Written), MS-Office, MS-Word",0,20250,Any
Operations,Ketto Online Ventures Pvt. Ltd.,Mumbai,3 Months,1 week ago,"Customer Support, Google Sheets, MS-Excel",158,13500,Any
Marketing,Socio Maven Media,Nashik,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), Presentation skills, Social Media Marketing",0,6500,Any
Marketing,WeDo Marketing,WFH,6 Months,1 week ago,"Copywriting, Market Analysis, Social Media Marketing",365,11000,Any
Content Writing,Recruit CRM,WFH,6 Months,1 week ago,Content Writing,1000,7250,Any
E-commerce Executive,Yashoda Shankar,Mumbai,6 Months,1 week ago,"Effective Communication, Social Media Marketing",0,7000,Any
Marketing,Upthrust Marketing Pvt. Ltd.,Gurgaon,4 Months,1 week ago,"Digital Marketing, English Proficiency (Spoken), English Proficiency (Written)",235,15000,Any
Market Research,Vertelo,Mumbai,2 Months,1 week ago,"Coordination, Effective Communication",90,8500,Any
Telecalling,Lead Mines Media,WFH,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), Gujarati Proficiency (Spoken), Gujarati Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Marketing, Sales",71,8000,Any
Sales,One Accord,Mumbai,6 Months,1 week ago,"ARM Microcontroller, Content Management, Content Writing, C Programming, Embedded Systems, Internet of Things (IoT), Lead Generation, Sales Management, Search Engine Optimization (SEO)",0,9000,Any
Telecalling,Lead Mines Media,WFH,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), Gujarati Proficiency (Spoken), Gujarati Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Marketing, Sales",0,8000,Any
Telecalling,Lead Mines Media,WFH,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Kannada Proficiency (Spoken), Kannada Proficiency (Written), Malayalam Proficiency (Spoken), Malayalam Proficiency (Written), Marketing, Sales",121,8000,Any
Telecalling,Lead Mines Media,WFH,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Kannada Proficiency (Spoken), Kannada Proficiency (Written), Malayalam Proficiency (Spoken), Malayalam Proficiency (Written), Marketing",0,8000,Any
Telecalling,Lead Mines Media,WFH,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), Kannada Proficiency (Spoken), Kannada Proficiency (Written), Malayalam Proficiency (Spoken), Malayalam Proficiency (Written), Marketing, Sales",0,8000,Any
Telecalling,Lead Mines Media,WFH,6 Months,1 week ago,"Bengali Proficiency (Spoken), Bengali Proficiency (Written), English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Marketing, Sales",54,8000,Female
Telecalling,Lead Mines Media,WFH,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Marketing, Punjabi Proficiency (Spoken), Punjabi Proficiency (Written), Sales",82,8000,Any
Telecalling,Lead Mines Media,WFH,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Odia Proficiency(Spoken), Odia Proficiency(Written), Telugu Proficiency (Spoken)",0,8000,Any
Telecalling,Lead Mines Media,WFH,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Kashmiri Proficiency (Spoken), Kashmiri Proficiency (written), Sales",30,8000,Any
Graphic Design,Crafted Web Campus,Kolkata,6 Months,1 week ago,"Adobe After Effects, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Premiere Pro, Canva, UI & UX Design, Video Editing",42,9000,Any
Telecalling,Lead Mines Media,WFH,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Marathi Proficiency(Spoken), Marathi Proficiency(Written), Marketing, Sales",29,8000,Any
Telecalling,Lead Mines Media,WFH,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Marathi Proficiency(Spoken), Marathi Proficiency(Written), Marketing, Sales",0,8000,Female
Web Development,Isourse,Delhi,6 Months,1 week ago,"Bootstrap, CSS, HTML, JavaScript, Node.js, React, Redux, TypeScript",1000,28500,Any
iOS Developer,TringBox,WFH,1 Month,1 week ago,"iOS, Mobile Application Development, Objective C, REST API, Swift, Xcode",179,7500,Any
Founders Office,Zi Cloud,Mumbai,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written)",140,10000,Any
Marketing,Astrotalk,Noida,3 Months,1 week ago,"Creativity, Problem Solving",589,17500,Any
Operations,Rydeu Logistics UG,WFH,6 Months,1 week ago,English Proficiency (Spoken),470,11000,Any
Analytics,Orufy Technologies Pvt. Ltd.,Jaipur,6 Months,1 week ago,"CSS, HTML, JavaScript, Manual Testing, Test Automation",242,8500,Any
Marketing,YOURS FAITHFULLY ADVISORS LLP,Navi Mumbai,6 Months,1 week ago,"Blogging, Content Writing, Creative Writing, Digital Marketing, Email Marketing, Facebook Marketing, Instagram Marketing, Search Engine Optimization (SEO), Social Media Marketing",115,4500,Any
Video Making/Editing,Site Galleria,WFH,4 Months,1 week ago,"Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making",107,3000,Any
Marketing,APEX ENGINEERING,WFH,1 Month,1 week ago,"English Proficiency (Written), Hindi Proficiency (Spoken), MS-Excel, MS-Office, Social Media Marketing",500,5000,Any
Community Management,Mirai School Of Technology,Gurgaon,2 Months,1 week ago,"Customer Support, Effective Communication, Management",96,10000,Any
Analytics,Orufy Technologies Pvt. Ltd.,Jaipur,6 Months,1 week ago,"CSS, English Proficiency (Spoken), English Proficiency (Written), HTML, JavaScript, MS-Office, Research and Analytics",344,9000,Any
Supply Chain Management (SCM),Go Do Good Studio,Pune,6 Months,1 week ago,"Effective Communication, Marathi Proficiency(Spoken)",125,12500,Any
Supply Chain Management (SCM),Go Do Good Studio,Mumbai,6 Months,1 week ago,"Effective Communication, Marathi Proficiency(Spoken)",125,12500,Any
Supply Chain Management (SCM),Go Do Good Studio,Peth,6 Months,1 week ago,"Effective Communication, Marathi Proficiency(Spoken)",125,12500,Any
Supply Chain Management (SCM),Go Do Good Studio,Maharashtra,6 Months,1 week ago,"Effective Communication, Marathi Proficiency(Spoken)",125,12500,Any
Graphic Design,Earnestroi Solutions,Mumbai,3 Months,1 week ago,"Adobe After Effects, Adobe Photoshop, UI & UX Design",33,12500,Any
SEO,Learntech Edu Solutions Pvt. Ltd.,Bangalore,1 Month,1 week ago,"Digital Marketing, English Proficiency (Written), Google AdWords, Google Analytics, MS-Excel, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",49,7000,Any
Sales,Bizzcom Solutions,WFH,3 Months,1 week ago,"English Proficiency (Spoken), MS-Excel",88,4000,Any
Sales,Universal Tribes,WFH,1 Month,1 week ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Lead Generation, Marketing Strategy, Sales",142,2040,Any
Marketing,Graps Marketing Pvt Ltd,Bhopal,2 Months,1 week ago,Management,205,6000,Any
Video Making/Editing,NTM8,Mumbai,6 Months,1 week ago,"Adobe Premiere Pro, Video Editing",0,7000,Any
Marketing,Cabinsquad,WFH,6 Months,1 week ago,"Canva, Graphic Design, Social Media Marketing, Video Editing, Video Making",344,4500,Any
Operations,MTHK Gifts LLP,Mumbai,3 Months,1 week ago,"Business Development, Client Interaction, Effective Communication, Logistics Management, Marketing, MS-Excel, Operations, Presentation skills, Sales, Social Media Marketing",81,8500,Any
Graphic Design,Araku Originals Pvt. Ltd.,Mumbai,3 Months,1 week ago,"Adobe Illustrator, Adobe Photoshop",51,15000,Any
Video Making/Editing,Trigam Associates,Bangalore,6 Months,1 week ago,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing",65,13000,Any
Community Management,Asteride Technologies Pvt. Ltd.,Delhi,6 Months,1 week ago,"Canva, Community Management, Effective Communication",31,12500,Any
Sales,DataVinci Pvt. Ltd.,WFH,3 Months,1 week ago,"Client Relationship, Effective Communication, Multitasking",225,2000,Any
Telecalling,Coding Junior,WFH,3 Months,1 week ago,Effective Communication,415,2000,Any
Graphic Design,Maulik Specialty Chemicals Pvt. Ltd.,Delhi,3 Months,1 week ago,"Adobe After Effects, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Premiere Pro, CorelDRAW",174,14000,Any
Video Making/Editing,Savla Enterprise,Mumbai,3 Months,1 week ago,"Animation, Painting, Video Editing, Video Making",69,10500,Any
Web Development,SortWind Pvt. Ltd.,WFH,3 Months,1 week ago,"AngularJS, CSS, Golang, HTML, JavaScript, MEAN, MERN, MongoDB, MySQL, Node.js, PHP, Python, React, Rust",1000,5000,Any
UI/UX Design,Fluidesigns India (Opc) Pvt. Ltd.,WFH,6 Months,1 week ago,"Adobe Illustrator, Figma, UI & UX Design, Wireframing",948,10000,Any
Operations,Aegaa Enterprise Pvt Ltd,Hyderabad,3 Months,1 week ago,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Interpersonal skills, Scheduling",0,4500,Any
Graphic Design,Vkare Bio Sciences Pvt. Ltd.,Ghaziabad,2 Months,1 week ago,"Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Canva, CorelDRAW, UI & UX Design, Video Editing",90,7000,Any
Graphic Design,Vkare Bio Sciences Pvt. Ltd.,Greater Noida,2 Months,1 week ago,"Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Canva, CorelDRAW, UI & UX Design, Video Editing",90,7000,Any
Graphic Design,Vkare Bio Sciences Pvt. Ltd.,Noida,2 Months,1 week ago,"Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Canva, CorelDRAW, UI & UX Design, Video Editing",90,7000,Any
Graphic Design,Vkare Bio Sciences Pvt. Ltd.,Greater Noida West,2 Months,1 week ago,"Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Canva, CorelDRAW, UI & UX Design, Video Editing",90,7000,Any
HR,Bridge2job,WFH,6 Months,1 week ago,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interview Coordination, Interviewing, Time Management",833,10000,Any
Sales,Hari Hara Textiles,Noida,3 Months,1 week ago,"Canva, Cold Calling, English Proficiency (Spoken), MS-Excel, Social Media Marketing",90,14000,Any
Sales,Propintel,Greater Noida,6 Months,1 week ago,"Sales, Sales Strategy",169,50500,Any
Marketing,WARTALAAP Media,Mumbai,6 Months,1 week ago,"Anchoring, Content Writing, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Presentation skills, Shell Scripting",0,8500,Any
Marketing,Humanity Founders,WFH,3 Months,1 week ago,"Creative Direction, Creative Thinking, Creative Writing, Creativity, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), LinkedIn Marketing, Problem Solving, Sales, Sales Management, Sales Strategy, Social Media Marketing",314,5500,Any
Graphic Design,NutnBolt Business Solution (Dil Foods),Bangalore,6 Months,1 week ago,"Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, CorelDRAW, Photography, Video Editing",123,17500,Any
Marketing,Waffor Retail Solutions Pvt. Ltd.,Chennai,6 Months,1 week ago,"Content Writing, Creative Writing, Digital Marketing, Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",75,12500,Any
Sales,Punktur Media,Gurgaon,3 Months,1 week ago,"Effective Communication, English Proficiency (Spoken), Negotiation, Sales",142,27000,Any
Telecalling,Lead Mines Media,WFH,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Marketing, Sales",99,8000,Any
Marketing,GoFloat Tech,Navi Mumbai,3 Months,1 week ago,"Content Writing, Digital Marketing, Search Engine Optimization (SEO), Social Media Marketing",0,5000,Any
HR,Amnex Infotechnologies Pvt. Ltd.,Ahmedabad,3 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office",0,6500,Any
Photography,Jeypore Souvenirs,Jaipur,2 Months,1 week ago,"Adobe Photoshop, Image Editing, Photography, Video Editing, Video Making",0,13000,Any
Telecalling,Lead Mines Media,WFH,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Marketing, Sales, Tamil Proficiency (Spoken), Tamil Proficiency (Written), Telugu Proficiency (Spoken), Telugu Proficiency (Written)",168,8000,Female
Telecalling,Lead Mines Media,WFH,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Marketing, Sales",68,8000,Female
Customer Support,Rydeu Logistics UG,WFH,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written)",617,11000,Any
Operations,Rydeu Logistics UG,WFH,6 Months,1 week ago,English Proficiency (Spoken),383,11000,Any
Sales,Rydeu Logistics UG,WFH,6 Months,1 week ago,English Proficiency (Spoken),372,11000,Any
HR,Socialtek AI & ML Business Solutions Pvt. Ltd.,Hyderabad,6 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-Word",94,11500,Any
Sales,Eshopizo,Kolkata,6 Months,1 week ago,"Client Relationship, Customer Acquisition, Effective Communication, Negotiations, Self-learning, Time Management",64,33500,Any
Marketing,Ekarank Digital Pvt. Ltd.,WFH,6 Months,1 week ago,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",338,7500,Any
Marketing,AQVA,WFH,3 Months,1 week ago,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",215,1000,Any
