Role,Company,Location,Duration,Posted,Skills,Applicants,est_stipend,Gender
Recruitment,Kotak Mahindra Bank Ltd.,Mumbai,6 Months,1 week ago,"MS-Excel, MS-Office, Recruitment",129,9500,Any
Visual Design,More Retail Pvt. Ltd.,Bangalore,3 Months,1 week ago,"Adobe Illustrator, Adobe Photoshop, Figma",398,32500,Any
HR,Focus Wise Solution,WFH,1 Month,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-Word",1000,3500,Any
Mobile Dev,Thomas Cook,Mumbai,3 Months,1 week ago,"Dart, Figma, Flutter, JSON, REST API",391,7500,Any
Finance,Thomas Cook,Ahmedabad,6 Months,1 week ago,"Accounting, Financial Reporting",1000,20500,Any
Finance,Thomas Cook,Indore,6 Months,1 week ago,"Accounting, Financial Reporting",1000,20500,Any
Finance,Thomas Cook,Patna,6 Months,1 week ago,"Accounting, Financial Reporting",1000,20500,Any
Finance,Thomas Cook,Pune,6 Months,1 week ago,"Accounting, Financial Reporting",1000,20500,Any
Finance,Thomas Cook,Hyderabad,6 Months,1 week ago,"Accounting, Financial Reporting",1000,20500,Any
Finance,Thomas Cook,Mumbai,6 Months,1 week ago,"Accounting, Financial Reporting",1000,20500,Any
Finance,Thomas Cook,Bangalore,6 Months,1 week ago,"Accounting, Financial Reporting",1000,20500,Any
Graphic Design,Sri Sri Tattva,Bangalore,2 Months,1 week ago,"Adobe After Effects, Adobe Creative Suite, Coordination, CorelDRAW, Effective Communication, Graphic Design, Video Editing",110,12500,Any
Marketing,Anarock Property Consultant Pvt. Ltd.,Mumbai,6 Months,1 week ago,Social Media Marketing,70,12500,Any
Graphic Design,Shemaroo Entertainment Ltd.,Mumbai,2 Months,1 week ago,"Adobe After Effects, Adobe InDesign, Adobe Photoshop",87,5000,Any
Sales,Reliance Nippon Life Insurance,Hyderabad,2 Months,1 week ago,"Client Relationship Management (CRM), Effective Communication, Lead Generation, Networking",1000,0,Any
Sales,Reliance Nippon Life Insurance,Kolkata,2 Months,1 week ago,"Client Relationship Management (CRM), Effective Communication, Lead Generation, Networking",1000,0,Any
HR,CollegeDekho.com,Gurgaon,2 Months,1 week ago,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-Word",1000,12500,Any
Operations,Indian Gifts Portal,Mumbai,2 Months,1 week ago,"Logistics Management, MS-Excel, Operations",230,5000,Any
AI,Kores (India) Ltd.,Mumbai,6 Months,1 week ago,"Data Analytics, Data Science, PostgreSQL, Power BI, Python",476,30000,Any
Sales,Fern Hotels & Resorts,Mumbai,6 Months,2 weeks ago,"Digital Marketing, English Proficiency (Spoken), English Proficiency (Written)",231,4000,Any
UI/UX Design,Thomas Cook,Mumbai,3 Months,2 weeks ago,"UI & UX Design, Wireframing",858,13500,Any
UI/UX Design,Thomas Cook,E,3 Months,2 weeks ago,"UI & UX Design, Wireframing",858,13500,Any
Video Making/Editing,LetsTransport,Bangalore,2 Months,2 weeks ago,"Animation, Canva, Video Editing, Video Making",539,20000,Any
CA,JM Financial,Thane,6 Months,2 weeks ago,"Budget Management, MS-Excel, Tally, Technical Analysis",0,10000,Any
CA,JM Financial,Navi Mumbai,6 Months,2 weeks ago,"Budget Management, MS-Excel, Tally, Technical Analysis",0,10000,Any
CA,JM Financial,Mumbai,6 Months,2 weeks ago,"Budget Management, MS-Excel, Tally, Technical Analysis",0,10000,Any
Operations,Decathlon Sport India Pvt. Ltd.,Noida,4 Months,2 weeks ago,"MS-Excel, MS-Office, MS-Word",698,32500,Any
Graphic Design,More Retail Pvt. Ltd.,Bangalore,3 Months,2 weeks ago,Motion Graphics,554,10000,Any
