Role,Company,Location,Stipend,Duration,Posted,Applicant,Skills,Applicants
Capital Market,Big Bulls,Work from home,"₹ 8,000 - 30,000 /month",2 Months,4 days ago,,"Data Analysis
Research and Analytics",469 applicants
Trader,Big Bulls,Work from home,"₹ 8,000 - 30,000 /month",2 Months,4 days ago,,Stock Trading,352 applicants
Social Entrepreneurship,Pawzz Foundation,Work from home,"₹ 1,500 - 8,000 /month",1 Month,4 days ago,,"Business Analysis
Business Research
Data Analysis
Digital Marketing
Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
Facebook Marketing
Google Analytics
Instagram Marketing
Market Analysis
MS-Excel
MS-Office
MS-Word
Time Management",137 applicants
14 Days Virtual Charity Drive,Pawzz Foundation,Work from home,"₹ 1,500 - 8,000 lump sum",2 Weeks,4 days ago,,"Advanced Excel
Content Writing
Data Analysis
Digital Advertising
Digital Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Facebook Marketing
Instagram Marketing
Marketing
Project Management
Time Management",198 applicants
Fundraising,Pawzz Foundation,Work from home,"₹ 1,500 - 8,000 /month",1 Month,4 days ago,,"Business Analysis
Data Analysis
Digital Marketing
Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
Instagram Marketing
LinkedIn Marketing
Sales
Social Media Marketing
Time Management",209 applicants
Video Editor,LAWA Global Innovations Pvt. Ltd.,Delhi,"₹ 5,000 - 12,000 /month",6 Months,4 days ago,,"Adobe After Effects
Adobe Premiere Pro
Canva
Capcut",30 applicants
Youth Officer,Pawzz,Work from home,"₹ 1,500 - 8,000 /month",4 Weeks,4 days ago,,"Advanced Excel
Business Analysis
Business Research
Content Marketing
Digital Marketing
Effective Communication
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Market Analysis
Marketing Campaigns 
MS-Word
Time Management",155 applicants
Digital Marketing,Pawzz,Work from home,"₹ 1,500 - 8,000 /month",1 Month,4 days ago,,"Business Research
Content Marketing
Creative Writing
Design Thinking
Digital Marketing
Effective Communication
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Facebook Marketing
Instagram Marketing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",293 applicants
Sales Associate,Pawzz,Work from home,"₹ 1,500 - 8,000 /month",2 Weeks,4 days ago,,"Advanced Excel
Content Marketing
Digital Marketing
Effective Communication
English Proficiency (Spoken)
Instagram Marketing
Marketing Campaigns 
Marketing Strategies 
Marketing Strategy
MS-Excel
Sales
Time Management",170 applicants
Marketing,Big Bulls,Work from home,"₹ 6,000 - 30,000 /month",2 Months,4 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Social Media Marketing",552 applicants
Research Analyst,Big Bulls,Work from home,"₹ 8,000 - 30,000 /month",2 Months,4 days ago,,Research and Analytics,1000+ applicants
Investment Analyst,Big Bulls,Work from home,"₹ 8,000 - 30,000 /month",2 Months,4 days ago,,"Financial Modeling
Market Analysis
Marketing
Research and Analytics",703 applicants
Tele Sales & Tele Marketing,Big Bulls,Bangalore,"₹ 9,000 - 20,000 /month",6 Months,4 days ago,,"Client Relationship
English Proficiency (Spoken)
Marketing
Social Media Marketing",57 applicants
Human Resources (HR),Big Bulls,Bangalore,"₹ 13,000 - 20,000 /month",6 Months,4 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)",177 applicants
Recruitment,Big Bulls,Work from home,"₹ 6,000 - 20,000 /month",6 Months,4 days ago,,English Proficiency (Spoken),574 applicants
Business Development (Sales),Check It Out Media,Bangalore,"₹ 18,000 - 25,000 /month",3 Months,4 days ago,,"Email Marketing
English Proficiency (Spoken)",45 applicants
Business Development (Sales),Threeorangemedia,Work from home,"₹ 18,000 - 36,000 /month",3 Months,4 days ago,,"Business Development
Customer Acquisition
Lead Generation",77 applicants
Physics,Metwiz Materials Private Limited,"Vasai, Mira Bhayandar, Nala Sopara, Vasai-Virar","₹ 5,000 - 7,000 /month",5 Months,4 days ago,,"Chemistry
Physics
Report Writing
Research and Analytics",Be an early applicant
Video Editing/Making,Nisha Rani,Bangalore,"₹ 15,000 - 18,000 /month",2 Months,4 days ago,,"Adobe Illustrator
Adobe Photoshop
Adobe Premiere Pro
Final Cut Pro
Video Editing
Video Making",49 applicants
Business Development (Sales),OXYHARVEST CLIMATETECH PRIVATE LIMITED,Work from home,"₹ 10,000 - 35,000 /month",2 Months,4 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-PowerPoint
Negotiations
Research and Analytics",453 applicants
Fundraising Volunteer,Odisha Development Management Programme (ODMP),Work from home,"₹ 500 - 5,000 /week",1 Week,4 days ago,,Effective Communication,665 applicants
Graphic Design,Designoo Media,Gurgaon,"₹ 8,000 - 10,000 /month",6 Months,4 days ago,,"Adobe Photoshop
Adobe Photoshop Lightroom CC",85 applicants
Graphic Design,Digital Shoppe,Gurgaon,"₹ 8,000 - 15,000 /month",6 Months,4 days ago,,Adobe Photoshop,57 applicants
Video Editing/Making,Acanyon Digital,Ahmedabad                                                                (Hybrid),"₹ 3,000 - 8,000 /month",6 Months,4 days ago,,"Adobe Premiere Pro
Final Cut Pro
Video Editing
Videography
Video Making
Video Marketing",35 applicants
Graphic Design,Ishan Saboo,"Ahmedabad, Delhi, Indore, Pune, Surat, Mumbai                                                                (Hybrid)","₹ 3,500 - 5,000 /month",6 Months,5 days ago,,"Adobe Photoshop
Video Editing",40 applicants
Artificial Intelligence (AI),DeepThought CultureTech Ventures Pvt Ltd.,Work from home,"₹ 2,000 /month",6 Months,5 days ago,,Artificial intelligence,1000+ applicants
Data Analytics,DeepThought CultureTech Ventures Pvt Ltd.,Tadipatri,"₹ 15,000 - 20,000 /month",6 Months,5 days ago,,Business Analysis,575 applicants
Search Engine Optimization (SEO),InstaWeb Labs Private Limited,Mumbai,"₹ 5,000 - 10,000 /month",6 Months,5 days ago,,"Blogging
Search Engine Optimization (SEO)
Social Media Marketing",70 applicants
Finance & Accounting,DeepThought CultureTech Ventures Pvt Ltd.,Work from home,"₹ 2,000 /month",6 Months,5 days ago,,"Accounting
Data Science",593 applicants
Product Management,InstaWeb Labs Private Limited,Mumbai,"₹ 10,000 - 20,000 /month",6 Months,5 days ago,,"English Proficiency (Spoken)
Production Engineering
Product Lifecycle Management(PLM)
Product Management
Product Strategy",239 applicants
Cognitive Psychology,DeepThought CultureTech Ventures Pvt Ltd.,Work from home,"₹ 2,000 /month",6 Months,5 days ago,,Psychology,137 applicants
Psychology,DeepThought CultureTech Ventures Pvt Ltd.,Work from home,"₹ 2,000 /month",6 Months,5 days ago,,Effective Communication,229 applicants
Graphic Design,Baweja Media,Work from home,"₹ 6,000 - 10,000 /month",6 Months,5 days ago,,"Adobe Illustrator
Adobe Photoshop",476 applicants
Teaching,The Skill Guru Foundation,Work from home,Unpaid,3 Months,5 days ago,,"Hindi Proficiency (Spoken)
Online Teaching
Teaching",219 applicants
Relationship Manager,XeroDebt,Agra                                                                (Hybrid),"₹ 6,000 - 7,000 /month",6 Months,5 days ago,,MS-Excel,41 applicants
Sales and Marketing,SHIV TEXCHEM LTD.,Mumbai,"₹ 5,000 - 7,000 /month",3 Months,5 days ago,,"Effective Communication
MS-Excel",Be an early applicant
Front End Development,SUREFY TECHNOLOGIES PRIVATE LIMITED,Work from home,"₹ 3,000 /month",6 Months,5 days ago,,"AngularJS
Bootstrap
Bubble.io
CSS
HTML
JavaScript
jQuery
Node.js
React
Redux
REST API",671 applicants
Human Resources (HR),Coding Junior,Work from home,"₹ 15,000 /month",6 Months,5 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
MS-Word",1000+ applicants
WordPress Development,Technical India,Raipur,"₹ 7,000 - 15,000 /month",3 Months,5 days ago,,"CSS
HTML
JavaScript
MySQL
PHP
Search Engine Optimization (SEO)
Shopify
WordPress",Be an early applicant
Data Analytics,Protrainy Skills Private Limited,Bhubaneswar                                                                (Hybrid),"₹ 2,000 /month",4 Months,5 days ago,,"Data Analysis
Data Analytics",30 applicants
Social Media Management (Content Creator),MySalonJobs,Delhi                                                                (Hybrid),"₹ 15,000 - 60,000 /month",2 Months,5 days ago,,"Social Media Marketing
Video Editing
Video Making",89 applicants
Interior Design,Elemondo Interiors,Pune                                                                (Hybrid),"₹ 7,000 /month",6 Months,5 days ago,,"AutoCAD
Autodesk 3ds Max
Creative Thinking
Creativity
Design Thinking
Effective Communication
Google SketchUp 
Interpersonal skills
MS-Excel
Problem Solving
Project Management
Wireframing",Be an early applicant
AI video creation,DeepThought CultureTech Ventures Pvt Ltd.,Work from home,"₹ 4,000 /month",6 Months,5 days ago,,Video Editing,202 applicants
Sales and Marketing,RSL,Delhi,"₹ 6,000 - 12,000 /month",2 Months,5 days ago,,"Effective Communication
Operations
Self-learning",142 applicants
AI Content Marketing,DeepThought CultureTech Ventures Pvt Ltd.,Work from home,"₹ 4,000 /month",6 Months,5 days ago,,Content Writing,576 applicants
Research In International Relations,International Institute Of SDGs & Public Policy Research,Work from home,Unpaid,2 Months,5 days ago,,"Analytical Thinking
Critical thinking
Research and Analytics",267 applicants
Research In Philosophy,International Institute Of SDGs & Public Policy Research,Work from home,Unpaid,2 Months,5 days ago,,"Analytical Thinking
Critical thinking
Research and Analytics",100 applicants
Research In Clinical Psychology,International Institute Of SDGs & Public Policy Research,Work from home,Unpaid,2 Months,5 days ago,,"Clinical Research
Critical thinking
Psychology
Research and Analytics",142 applicants
Research In Business Case Studies,International Institute Of SDGs & Public Policy Research,Work from home,Unpaid,2 Months,5 days ago,,"Analytical Thinking
Business Analysis
Business Research
Data Analysis
Research and Analytics",204 applicants
Subject Matter Expert (SME),Gaurav Tiwari,Work from home,"₹ 11,000 - 15,000 /month",3 Months,5 days ago,,"MS-Office
MS-Word
Physics
Subject Matter Expert (SME)",575 applicants
Business Analytics,DeepThought CultureTech Ventures Pvt Ltd.,Tadipatri,"₹ 15,000 - 20,000 /month",6 Months,5 days ago,,Business Analysis,398 applicants
Accounting,Accountsly&Associates,Mohali,"₹ 3,000 - 3,001 /month",3 Months,5 days ago,,"Accounting
Bank Reconciliation",66 applicants
Graphic Design,Growth Code Digital,Work from home,"₹ 3,000 - 5,000 /month",2 Months,5 days ago,,"Adobe Illustrator
Adobe Photoshop",324 applicants
Operations,EMEDIX WELLNESS PVT LTD,Patna,"₹ 5,000 - 10,000 /month",6 Months,5 days ago,,"Canva
Digital Marketing Tools
English Proficiency (Spoken)
MS-Excel
MS-PowerPoint",50 applicants
Content and Social Media Marketing,SANSKORI,"Delhi, Noida                                                                (Hybrid)","₹ 5,000 /month",1 Month,5 days ago,,"Canva
Content Writing
Effective Communication
Market Analysis
Photography
Script Writing
Social Media Marketing
Video Editing
Videography
Video Making",175 applicants
Business Development (Sales),AUSSTECH FUSION,Ghaziabad                                                                (Hybrid),"₹ 5,000 - 12,000 /month",3 Months,5 days ago,,"Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Research and Analytics",Be an early applicant
Graphic Design,PVKR & Co LLP,Bangalore                                                                (Hybrid),"₹ 15,000 - 18,000 /month",2 Months,5 days ago,,"Adobe Creative Suite
Adobe Illustrator
Adobe InDesign
Adobe Photoshop
CorelDRAW
UI & UX Design",218 applicants
Partnership,Gamahouse Publishing,Work from home,"₹ 4,000 - 7,000 /month",6 Months,5 days ago,,"English Proficiency (Written)
Interpersonal skills
Negotiation",131 applicants
Operations,Gamahouse Publishing,Work from home,"₹ 4,000 - 7,000 /month",6 Months,5 days ago,,"Data Analysis
Problem Solving",1000+ applicants
Content and Social Media Marketing,ETHNIK DORI,"Faridabad, Delhi, Gurgaon, Noida                                                                (Hybrid)","₹ 5,000 - 15,000 /month",6 Months,5 days ago,,"Content Management
Facebook Ads
Instagram Marketing
Social Media Marketing",118 applicants
Virtual Charity Drive,She Can Foundation,Work from home,"₹ 1,500 - 10,000 lump sum",1 Month,5 days ago,,Effective Communication,154 applicants
Social Media Marketing,Purav Singla,Work from home,"₹ 5,000 - 8,000 /month",3 Months,5 days ago,,"English Proficiency (Spoken)
Video Editing
Video Making",94 applicants
Lead Generation,Property Shop,Work from home,"₹ 5,000 /month",3 Months,5 days ago,,"Cold Calling
Creative Writing
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)",86 applicants
Social Sector,Goodera,Bangalore,"₹ 15,000 - 20,000 /month",6 Months,5 days ago,,"Community Management
Effective Communication",97 applicants
React Native Development,Zerenyth Technologies.,Work from home,"₹ 7,500 - 13,000 /month",3 Months,5 days ago,,"Git
JavaScript
React Native
Redux
Responsive Design",435 applicants
UI/UX Design,Zerenyth Technologies.,Work from home,"₹ 7,000 - 13,000 /month",3 Months,5 days ago,,"Adobe XD
Design System
Figma
UI & UX Design
Wireframing",1000+ applicants
Content and Social Media Marketing,URE Legal Advocates,Work from home,"₹ 1,000 /month",6 Months,5 days ago,,"Instagram Ads
Instagram Marketing
LinkedIn Ads
LinkedIn Marketing
Video Editing
Video Making
YouTube Ads",176 applicants
Video Editing/Making,Hunt Digital Media,Work from home,"₹ 2,000 /month",1 Month,5 days ago,,"Adobe Photoshop
Video Editing
Video Making",200 applicants
Business Development (Sales),Gorjag,Work from home,"₹ 1,000 - 5,000 /month",6 Months,5 days ago,,"Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
Social Media Marketing",231 applicants
Event Management,Goodera,Bangalore,"₹ 15,000 - 20,000 /month",6 Months,5 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Event Management
MS-Excel
MS-Office",171 applicants
Video Editing/Making,Celebrare,Work from home,"₹ 10,000 - 15,000 /month",1 Month,5 days ago,,"Adobe After Effects
Adobe Photoshop
Adobe Premiere Pro
Animation
Motion Graphics
Video Editing",310 applicants
"AI Native Fintech App Product (UX, Functional Requirements, QA)","HeyTheo, Inc.",Work from home,"₹ 10,000 - 20,000 /month",6 Months,5 days ago,,"ChatGPT
Figma
Gemini",970 applicants
Digital Marketing,Rohan Agarwal,Meerut,"₹ 5,000 /month",4 Months,5 days ago,,"Digital Marketing
English Proficiency (Written)
Instagram Marketing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",Be an early applicant
iOS App Development,Purav Singla,Work from home,"₹ 12,000 /month",6 Months,5 days ago,,"iOS
REST API
Swift
Xcode",109 applicants
Sales,Akaaro,Gurgaon,"₹ 15,000 - 20,000 /month",3 Months,5 days ago,,"Effective Communication
Problem Solving",147 applicants
Admission Counselor,Institute Of Admissions Professionals,"Delhi, Bangalore","₹ 15,000 - 25,000 /month",6 Months,5 days ago,,"Counseling
Effective Communication
Interpersonal skills
Presentation skills",168 applicants
Sales and Marketing,Kribaga Realty Pvt Ltd,"Pune, Bangalore                                                                (Hybrid)","₹ 4,250 - 15,000 /month",3 Months,5 days ago,,"Client Relationship Management (CRM)
Cold Calling
Customer Acquisition
Effective Communication
Lead Generation
Sales Management
Sales Strategy",33 applicants
Inside Sales,Sobé Decor,Chennai,"₹ 8,000 - 10,000 /month",6 Months,5 days ago,,Sales Support,Be an early applicant
Business Development (Sales),Procverse Business Solutions,Surat,"₹ 5,000 - 10,000 /month",3 Months,5 days ago,,"Cold Calling
Email Marketing
English Proficiency (Spoken)
LinkedIn Marketing
MS-Excel",Be an early applicant
Photography,Aulerio.com,Mumbai                                                                (Hybrid),"₹ 2,000 - 10,000 /month",2 Months,5 days ago,,"Digital Marketing
Image Editing
Photography
Social Media Marketing
Video Editing
Video Making",26 applicants
Field Sales,Marvellous Realtors,Pune                                                                (Hybrid),"₹ 20,000 - 33,000 /month",6 Months,5 days ago,,"Client Interaction
Effective Communication
Hindi Proficiency (Spoken)
Lead Generation
MIS
Report Generation",Be an early applicant
Graphic Design,Swahaa Pharmaceuticals Private Limited,Work from home,"₹ 8,000 - 12,000 /month",6 Months,5 days ago,,"Adobe After Effects
Adobe Creative Suite
Adobe Illustrator
Adobe InDesign
Adobe Photoshop
Adobe Premiere Pro
Video Editing",433 applicants
Accounting & Bookkeeping,Hunt Digital Media,Work from home,"₹ 5,000 /month",6 Months,5 days ago,,"Accounting
Zoho Books",723 applicants
Lead Generation (Rental Market),The Glen,Work from home,"₹ 12,000 - 20,000 /month",2 Months,5 days ago,,"Community Management
Interpersonal skills
MS-Excel
MS-Word",413 applicants
Business Development (Sales),QuadB Tech,Ludhiana,"₹ 15,000 - 20,000 /month",6 Months,5 days ago,,"Client Relationship
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Hindi Proficiency (Spoken)
Influencer Marketing
Lead Generation
Sales
Social Media Marketing",51 applicants
Apparel Merchandising,Kalyani Clothing Company,Pune                                                                (Hybrid),"₹ 14,000 - 17,000 /month",3 Months,5 days ago,,"Merchandising
Sales",61 applicants
Business Development (Sales),Coding Junior,Work from home,"₹ 15,000 /month",3 Months,5 days ago,,Social Media Marketing,331 applicants
Influencer Marketing,Coding Junior,Work from home,"₹ 15,000 /month",6 Months,5 days ago,,"English Proficiency (Spoken)
Video Editing
Video Making",734 applicants
Social Media Marketing,Coding Junior,Work from home,"₹ 15,000 /month",6 Months,5 days ago,,"Creative Writing
Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Facebook Marketing
Instagram Marketing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",614 applicants
Human Resources (HR),The Glen,Work from home,"₹ 10,000 - 20,000 /month",2 Months,5 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Office
Recruitment",1000+ applicants
Operations,The Glen,Work from home,"₹ 10,000 - 15,000 /month",2 Months,5 days ago,,"Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-PowerPoint",924 applicants
Marketing,The Glen,Work from home,"₹ 17,000 - 35,000 /month",2 Months,5 days ago,,"Email Marketing
English Proficiency (Spoken)
MS-Office
Social Media Marketing",1000+ applicants
Business Analytics,The Glen,Work from home,"₹ 9,000 - 35,000 /month",2 Months,5 days ago,,"English Proficiency (Spoken)
MS-Excel
MS-Word",1000+ applicants
Digital Marketing,The Glen,Work from home,"₹ 17,000 - 30,000 /month",2 Months,5 days ago,,"Creative Writing
Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Social Media Marketing",1000+ applicants
Property Management,The Glen,Work from home,"₹ 11,000 - 20,000 /month",2 Months,5 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Word",521 applicants
Operations & Coordination,The Glen,Work from home,"₹ 12,000 - 20,000 /month",2 Months,5 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Word",650 applicants
Growth & Outreach (Property Rentals),The Glen,Work from home,"₹ 12,000 - 20,000 /month",2 Months,5 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Word",283 applicants
Field Operations (Property Visits),The Glen,Work from home,"₹ 11,000 - 22,000 /month",2 Months,5 days ago,,"English Proficiency (Spoken)
MS-Excel
MS-Word",195 applicants
Competitor Analysis (Stay Industry),The Glen,Work from home,"₹ 12,000 - 20,000 /month",2 Months,5 days ago,,"Community Management
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Word",756 applicants
Marketing & Growth (Real Estate Marketing),The Glen,Work from home,"₹ 15,000 - 25,000 /month",2 Months,5 days ago,,"Community Management
Interpersonal skills
MS-Excel",391 applicants
Geo Expansion Strategy,The Glen,Work from home,"₹ 12,000 - 20,000 /month",2 Months,5 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Interpersonal skills",395 applicants
Live Chat & Messaging,The Glen,Work from home,"₹ 13,000 - 22,000 /month",2 Months,5 days ago,,"Channel Management
English Proficiency (Spoken)
MS-Excel",1000+ applicants
Pine Script Coder For TradingView (Expert),Gugalia Fintech Private Limited,Work from home,"₹ 4,000 - 13,000 /month",3 Months,5 days ago,,"Algorithms
C++ Programming
C Programming
Data Analytics
Finance
Python
Quantitative Research",54 applicants
Trend & Local Listing Research,The Glen,Work from home,"₹ 12,000 - 20,000 /month",2 Months,5 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Interpersonal skills
MS-Word",240 applicants
Fashion Design,Carla Braga,Delhi,"₹ 10,000 - 15,000 /month",3 Months,5 days ago,,"Content Marketing
Fashion Designing",227 applicants
Digital Marketing,Conscious Humanity Network Foundation,Work from home,"₹ 3,000 - 10,000 /month",6 Months,5 days ago,,"Creative Writing
Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Facebook Marketing
Instagram Marketing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",142 applicants
Volunteering,Conscious Humanity Network Foundation,Work from home,Unpaid,6 Months,5 days ago,,"Adaptability
Creative Writing
Digital Marketing
Effective Communication
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Facebook Marketing
Google Docs
Instagram Marketing
Interpersonal skills
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing
Teamwork",36 applicants
Community Management,Conscious Humanity Network Foundation,Work from home,"₹ 3,000 - 10,000 /month",6 Months,5 days ago,,"Collaboration
Community Management
Coordination
Creativity
Interpersonal skills
Leadership
Problem Solving
Team Management",59 applicants
Admission Counselor,Institute Of Admissions Professionals,Work from home,"₹ 6,000 - 10,000 /month",2 Months,5 days ago,,"Counseling
Effective Communication
Interpersonal skills",549 applicants
Teaching Python And ML,International Institute Of SDGs & Public Policy Research,Work from home,Unpaid,3 Months,5 days ago,,Python,279 applicants
Business Development (Sales),Clapingo Education Private Limited,Work from home,"₹ 9,000 - 12,000 /month",1 Month,5 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)",317 applicants
Expert IONIC App Developer,Conscious Humanity Network Foundation,Work from home,"₹ 3,000 - 10,000 /month",6 Months,5 days ago,,"Adaptability
Interpersonal skills
Ionic
Teamwork",41 applicants
Full Stack Development,Kibou Systems,Work from home,"₹ 2,000 - 3,000 /month",1 Month,5 days ago,,"Debugging
Express.js
JavaScript
Next.js
PostgreSQL
Problem Solving
TypeScript",1000+ applicants
Machine Learning,URE Legal Advocates,Work from home,"₹ 1,000 /month",6 Months,5 days ago,,"Artificial intelligence
Deep Learning
Natural Language Processing (NLP)
Python",1000+ applicants
Visual Design,Noctilucent Technologies LLP,Work from home,"₹ 8,000 - 10,000 /month",3 Months,5 days ago,,"Adobe After Effects
Adobe Illustrator
Adobe Photoshop",253 applicants
Fundraising,Conscious Humanity Network Foundation,Work from home,"₹ 3,000 - 9,000 /month",6 Months,5 days ago,,"Adaptability
English Proficiency (Spoken)
English Proficiency (Written)
Google Docs
Self-learning
Teamwork",40 applicants
Project Management,Conscious Humanity Network Foundation,Work from home,"₹ 3,000 - 8,000 /month",6 Months,5 days ago,,"Adaptability
Collaboration
Leadership
Project Management
Self-learning
Team Management",161 applicants
Video Editing/Making,Glamanand Entertainment,Delhi,"₹ 5,000 - 8,000 /month",6 Months,5 days ago,,"Adobe Premiere Pro
Final Cut Pro
Video Editing
Video Making",156 applicants
Real Estate Sales,BNM Business Solutions LLP,"Pune, Navi Mumbai, Bangalore, Indore","₹ 12,000 - 18,000 /month",3 Months,5 days ago,,Sales Strategy,82 applicants
Corporate Sales,BNM Business Solutions LLP,"Navi Mumbai, Mumbai","₹ 15,000 /month",5 Weeks,5 days ago,,"Client Interaction
Client Relationship
Client Relationship Management (CRM)
Negotiation
Sales",52 applicants
Medical Sales,Neuralbits Technologies Private Limited,"Delhi, Noida                                                                (Hybrid)","₹ 15,000 - 21,000 /month",3 Months,5 days ago,,"Effective Communication
Marketing
Negotiation
Presentation skills
Sales Management
Sales Support",71 applicants
Data Entry,Jano.health,Bangalore,"₹ 5,000 - 6,000 /month",3 Months,5 days ago,,"Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
Google Workspace
MS-Excel
MS-Office",28 applicants
Operations,Competishun,Jaipur,"₹ 11,000 - 17,000 /month",6 Months,5 days ago,,"English Proficiency (Written)
MS-Office",54 applicants
HR,Inspire Clean Energy,"Chennai, Mumbai","₹ 5,000 - 6,500 /month",3 Months,5 days ago,,"Interview Coordination
Onboarding
Recruitment
Resume screening",46 applicants
Marketing,Budget Booking,"Tirupati, Goa Velha","₹ 15,000 - 20,000 /month",3 Months,5 days ago,,"Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
Marketing",Be an early applicant
Fashion Design,Jaipur Art And Crafts,Jaipur                                                                (Hybrid),"₹ 5,000 - 15,000 /month",3 Months,5 days ago,,"Fashion Designing
Social Media Marketing",Be an early applicant
Film Production: Assistant Director,P Se Picture,Vadodara                                                                (Hybrid),"₹ 10,000 - 20,000 /month",1 Month,5 days ago,,"Content Writing
Effective Communication
Interpersonal skills",55 applicants
Website Development (Shopify/WordPress/Frontend),Get You At,Kolkata,"₹ 3,000 - 7,000 /month",6 Months,5 days ago,,"CSS3
HTML
Interpersonal skills
JavaScript
Problem Solving
Shopify
UI & UX Design
WordPress",72 applicants
E-Commerce,Women Hopes Care,Delhi,"₹ 6,000 - 14,000 /month",3 Months,5 days ago,,E-commerce,85 applicants
Graphic Design,My Health Notion,Hyderabad,"₹ 10,000 - 20,000 /month",3 Months,5 days ago,,"Adobe Creative Suite
Adobe Illustrator
Adobe Photoshop
Adobe Photoshop Lightroom CC
Color Theory
CorelDRAW
UI & UX Design",Be an early applicant
Corporate Sales,CredAble,Mumbai,"₹ 10,000 - 15,000 /month",3 Months,5 days ago,,"Business Development
Client Interaction
Cold Calling
Customer Acquisition
Sales",Be an early applicant
Search Engine Optimization (SEO),Plunes Healthcare,Gurgaon,"₹ 14,500 - 15,000 /month",4 Months,5 days ago,,"Digital Marketing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",130 applicants
Content Writing,TechnoS Centre Of Excellence,Sitapura,"₹ 10,001 - 20,002 /month",3 Months,5 days ago,,"Blogging
Creative Writing
Digital Marketing
English Proficiency (Written)
Search Engine Optimization (SEO)
Social Media Marketing",Be an early applicant
Photography,The Public Mic,"Delhi, Allahabad, Bihar                                                                (Hybrid)","₹ 4,000 /month +  Incentives",5 Months,5 days ago,,"Anchoring
Photography",32 applicants
Content And Communication,Buddy4Study,"Delhi, Noida","₹ 10,000 - 15,000 /month",6 Months,5 days ago,,"Content Writing
Effective Communication
Interpersonal skills
Proofreading
Public Relations",84 applicants
Telecalling,Arcious Infratech,Indore,"₹ 8,000 - 1,25,000 /month",2 Months,5 days ago,,"Client Relationship Management (CRM)
MS-Excel",61 applicants
Business Development,Esse Dew Private Limited,Noida,"₹ 2,000 - 5,000 /month",3 Months,5 days ago,,"Effective Communication
Sales Management",Be an early applicant
Business System Operations,CereBraix Technologies,Work from home,"₹ 5,000 - 5,001 /month",6 Months,5 days ago,,"Business Analysis
Data Analysis
Data entry
Data Interpretation
English Proficiency (Spoken)
Operations
Process Management",102 applicants
Mutual Fund Sales & Advisory,Realtystox Consulting Pvt Ltd,Work from home,"₹ 19,000 - 20,000 /month",3 Months,5 days ago,,"Business Research
Digital Marketing
Effective Communication
English Proficiency (Spoken)
Finance
Financial Analysis
Financial literacy
Interpersonal skills
Sales Management",303 applicants
Digital Marketing,Happiness Plans,Indore,"₹ 4,000 - 5,000 /month",3 Months,5 days ago,,"Creative Writing
Digital Marketing
English Proficiency (Spoken)
Instagram Marketing
Social Media Marketing",Be an early applicant
