Role,Company,Location,Stipend,Duration,Posted,Applicant,Skills,Applicants
Digital Marketing,Kesari Tours Private Limited,Mumbai,"₹ 10,000 - 15,000 /month",6 Months,4 days ago,,"Digital Marketing
Email Marketing
Facebook Marketing
Instagram Marketing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",177 applicants
Agriculture & Food Engineering,DeHaat,Pune,"₹ 5,000 - 10,000 /month",3 Months,4 days ago,,"Data entry
Effective Communication
Lead Generation
MS-Excel",28 applicants
Digital Marketing,Premier Shield Private Limited,Delhi,"₹ 5,000 - 7,500 /month",6 Months,4 days ago,,"Creative Writing
Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Facebook Marketing
Instagram Marketing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",89 applicants
Content Writing,Times Internet,Noida,"₹ 9,000 - 10,000 /month",6 Months,4 days ago,,"Creative Writing
English Proficiency (Written)",189 applicants
Human Resources (HR),Aditya Birla Fashion & Retail Limited,Bangalore,"₹ 5,000 - 7,000 /month",6 Months,6 days ago,,"Advanced Excel
English Proficiency (Spoken)
English Proficiency (Written)",88 applicants
Graphic Design,Enrich Hair And Skin Solutions Private Limited,Mumbai,"₹ 10,000 - 12,000 /month",3 Months,6 days ago,,"Adobe After Effects
Adobe Creative Suite
Adobe Illustrator
Adobe InDesign
Adobe Photoshop
Adobe Premiere Pro",52 applicants
Relationship Manager,Scaler,Bangalore,"₹ 18,000 - 22,000 /month",6 Months,6 days ago,,"Customer Support
Effective Communication",1000+ applicants
Recruitment,BSA Corporation Limited,"Pune, Bangalore","₹ 5,000 /month",6 Months,7 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
Recruitment
Resume screening",105 applicants
HRBP,Freecharge Payments Technology Private Limited,Jaipur,"₹ 10,000 - 15,000 /month",6 Months,7 days ago,,Effective Communication,340 applicants
Environmental Sciences,WWF-India,Mumbai,"₹ 5,000 - 8,000 /month",4 Months,7 days ago,,"Effective Communication
MS-Excel
Problem Solving
Project Management
Time Management",Be an early applicant
Sales and Marketing,Shriram Life Insurance Company Limited,Lucknow,"₹ 10,000 - 15,000 /month",2 Months,7 days ago,,Financial planning,47 applicants
Marketing,Times Internet,Mumbai,"₹ 9,000 - 10,000 /month",6 Months,1 week ago,,English Proficiency (Spoken),657 applicants
Video Editing/Making,Amnet Systems Private Limited,Chennai                                                                (Hybrid),"₹ 8,000 - 12,000 /month",1 Month,1 week ago,,"Video Editing
Video Making",Be an early applicant
Business Development (Sales),Urban Company,"Vadodara, Jaipur","₹ 18,000 - 23,000 /month",6 Months,1 week ago,,MS-Excel,56 applicants
Video Editing/Making,603 The CoWorking Space India,"Mumbai, Bandra","₹ 18,000 - 20,000 /month",6 Months,1 week ago,,"3D Modeling
C++ Programming
Color Correction
C Programming
Creativity
JavaScript
Network protocols
Python
Time Management
Video Marketing",47 applicants
Graphic Design,Petpooja,Ahmedabad,"₹ 9,000 - 10,000 /month",6 Months,1 week ago,,"Adobe Illustrator
Adobe Photoshop",170 applicants
Business Development (Sales),Shriram Life Insurance Company Limited,Lucknow,"₹ 10,000 - 15,000 /month",2 Months,1 week ago,,"English Proficiency (Written)
Finance
Marketing",42 applicants
Sales Consultant,Aditya Birla Fashion & Retail Limited (ABFRL),"Navi Mumbai, Borivali Tarf Rahur, Kurla, Panvel Sub-District","₹ 30,001 /month",6 Months,1 week ago,,Sales,96 applicants
Recruitment,Kotak Mahindra Bank Limited,Mumbai,"₹ 8,000 - 11,000 /month",6 Months,1 week ago,,"MS-Excel
MS-Office
Recruitment",129 applicants
Visual Design,More Retail Private Limited,Bangalore,"₹ 30,000 - 35,000 /month",3 Months,1 week ago,,"Adobe Illustrator
Adobe Photoshop
Figma",398 applicants
Human Resources (HR),Focus Wise Solution,Work from home,"₹ 2,000 - 5,000 /month",1 Month,1 week ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
MS-Word",1000+ applicants
Mobile App Development,Thomas Cook,Mumbai,"₹ 5,000 - 10,000 /month",3 Months,1 week ago,,"Dart
Figma
Flutter
JSON
REST API",391 applicants
Finance & Accounting,Thomas Cook,"Ahmedabad, Indore, Patna, Pune, Hyderabad, Mumbai, Bangalore","₹ 20,000 - 21,000 /month",6 Months,1 week ago,,"Accounting
Financial Reporting",1000+ applicants
Sampling,Navneet Education Limited,Mumbai,"₹ 5,000 /month",3 Months,1 week ago,,"Coordination
Effective Communication
MS-Excel
Problem Solving",52 applicants
Graphics Designer,Sri Sri Tattva,Bangalore,"₹ 10,000 - 15,001 /month",2 Months,1 week ago,,"Adobe After Effects
Adobe Creative Suite
Coordination
CorelDRAW
Effective Communication
Graphic Design
Video Editing",110 applicants
Content and Social Media Marketing,Anarock Property Consultant Private Limited,Mumbai,"₹ 10,000 - 15,000 /month",6 Months,1 week ago,,Social Media Marketing,70 applicants
Graphic Design,Shemaroo Entertainment Limited,Mumbai,"₹ 5,000 /month",2 Months,1 week ago,,"Adobe After Effects
Adobe InDesign
Adobe Photoshop",87 applicants
Marketing and Sales,Reliance Nippon Life Insurance,"Hyderabad, Kolkata",Unpaid,2 Months,1 week ago,,"Client Relationship Management (CRM)
Effective Communication
Lead Generation
Networking",1000+ applicants
Human Resources (HR),CollegeDekho.com,Gurgaon,"₹ 10,000 - 15,000 /month",2 Months,1 week ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
MS-Word",1000+ applicants
Logistics And Operations,Indian Gifts Portal,Mumbai,"₹ 5,000 /month",2 Months,1 week ago,,"Logistics Management
MS-Excel
Operations",230 applicants
Data Science,Kores (India) Limited,Mumbai,"₹ 25,000 - 35,000 /month",6 Months,1 week ago,,"Data Analytics
Data Science
PostgreSQL
Power BI
Python",476 applicants
Business Development (Sales),Fern Hotels & Resorts,Mumbai,"₹ 3,000 - 5,000 /month",6 Months,2 weeks ago,,"Digital Marketing
English Proficiency (Spoken)
English Proficiency (Written)",231 applicants
UI/UX Design,Thomas Cook,"Mumbai, E","₹ 12,000 - 15,000 /month",3 Months,2 weeks ago,,"UI & UX Design
Wireframing",858 applicants
Video Editing/Making,LetsTransport,Bangalore,"₹ 15,000 - 25,000 /month",2 Months,2 weeks ago,,"Animation
Canva
Video Editing
Video Making",539 applicants
Chartered Accountancy (CA),JM Financial,"Thane, Navi Mumbai, Mumbai","₹ 10,000 /month",6 Months,2 weeks ago,,"Budget Management
MS-Excel
Tally
Technical Analysis",Be an early applicant
Operations,Decathlon Sport India Private Limited,Noida,"₹ 30,000 - 35,000 /month",4 Months,2 weeks ago,,"MS-Excel
MS-Office
MS-Word",698 applicants
Motion Graphics,More Retail Private Limited,Bangalore,"₹ 10,000 /month",3 Months,2 weeks ago,,Motion Graphics,554 applicants
Content Writing,NoBroker,Bangalore                                                                (Hybrid),"₹ 5,000 /month",3 Months,2 weeks ago,,"Blogging
Creative Writing
English Proficiency (Written)
Search Engine Optimization (SEO)",105 applicants
